Fiscal year,Diagnosis category,Sex,fiscal_year,value,ci_low,ci_high,sheet_type
2019–2020,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Substance-related disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Substance-related disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Substance-related disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Mood disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Mood disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Mood disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Anxiety disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Anxiety disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Anxiety disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Personality disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Personality disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Personality disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Other disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Other disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,Other disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   Tic disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   Tic disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   Tic disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   ADHD,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   ADHD,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2019–2020,   ADHD,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Substance-related disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Substance-related disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Substance-related disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Mood disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Mood disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Mood disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Anxiety disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Anxiety disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Anxiety disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Personality disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Personality disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Personality disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Other disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Other disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,Other disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   Tic disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   Tic disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   Tic disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   ADHD,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   ADHD,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2020–2021,   ADHD,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Substance-related disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Substance-related disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Substance-related disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Mood disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Mood disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Mood disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Anxiety disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Anxiety disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Anxiety disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Personality disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Personality disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Personality disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Other disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Other disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,Other disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   Tic disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   Tic disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   Tic disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   ADHD,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   ADHD,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2021–2022,   ADHD,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Substance-related disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Substance-related disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Substance-related disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Mood disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Mood disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Mood disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Anxiety disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Anxiety disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Anxiety disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Personality disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Personality disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Personality disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Other disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Other disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,Other disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   Tic disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   Tic disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   Tic disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   ADHD,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   ADHD,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2022–2023,   ADHD,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Substance-related disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Substance-related disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Substance-related disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Mood disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Mood disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Mood disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Anxiety disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Anxiety disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Anxiety disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Personality disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Personality disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Personality disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Other disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Other disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,Other disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   Tic disorders,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   Tic disorders,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   Tic disorders,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   ADHD,Female,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   ADHD,Male,Agegroup:5–9years–95%CI,,,,Hospitalization
2023–2024,   ADHD,Total,Agegroup:5–9years–95%CI,,,,Hospitalization
2018–2019,Neurocognitive disorders,Female,Agegroup:10–14years–Rate,1.0,,,Hospitalization
2018–2019,Neurocognitive disorders,Male,Agegroup:10–14years–Rate,0.7,,,Hospitalization
2018–2019,Neurocognitive disorders,Total,Agegroup:10–14years–Rate,0.8,,,Hospitalization
2018–2019,Substance-related disorders,Female,Agegroup:10–14years–Rate,10.6,,,Hospitalization
2018–2019,Substance-related disorders,Male,Agegroup:10–14years–Rate,6.1,,,Hospitalization
2018–2019,Substance-related disorders,Total,Agegroup:10–14years–Rate,8.3,,,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Female,Agegroup:10–14years–Rate,8.9,,,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Male,Agegroup:10–14years–Rate,7.7,,,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Total,Agegroup:10–14years–Rate,8.3,,,Hospitalization
2018–2019,Mood disorders,Female,Agegroup:10–14years–Rate,138.4,,,Hospitalization
2018–2019,Mood disorders,Male,Agegroup:10–14years–Rate,37.9,,,Hospitalization
2018–2019,Mood disorders,Total,Agegroup:10–14years–Rate,86.9,,,Hospitalization
2018–2019,Anxiety disorders,Female,Agegroup:10–14years–Rate,58.2,,,Hospitalization
2018–2019,Anxiety disorders,Male,Agegroup:10–14years–Rate,22.9,,,Hospitalization
2018–2019,Anxiety disorders,Total,Agegroup:10–14years–Rate,40.2,,,Hospitalization
2018–2019,Personality disorders,Female,Agegroup:10–14years–Rate,16.5,,,Hospitalization
2018–2019,Personality disorders,Male,Agegroup:10–14years–Rate,1.9,,,Hospitalization
2018–2019,Personality disorders,Total,Agegroup:10–14years–Rate,9.0,,,Hospitalization
2018–2019,Other disorders,Female,Agegroup:10–14years–Rate,251.7,,,Hospitalization
2018–2019,Other disorders,Male,Agegroup:10–14years–Rate,142.6,,,Hospitalization
2018–2019,Other disorders,Total,Agegroup:10–14years–Rate,195.8,,,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Female,Agegroup:10–14years–Rate,142.5,,,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Male,Agegroup:10–14years–Rate,48.7,,,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Total,Agegroup:10–14years–Rate,94.5,,,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:10–14years–Rate,31.6,,,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:10–14years–Rate,32.4,,,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:10–14years–Rate,32.0,,,Hospitalization
2018–2019,   Eating and feeding disorders,Female,Agegroup:10–14years–Rate,36.0,,,Hospitalization
2018–2019,   Eating and feeding disorders,Male,Agegroup:10–14years–Rate,5.7,,,Hospitalization
2018–2019,   Eating and feeding disorders,Total,Agegroup:10–14years–Rate,20.5,,,Hospitalization
2018–2019,   Tic disorders,Female,Agegroup:10–14years–Rate,0.2,,,Hospitalization
2018–2019,   Tic disorders,Male,Agegroup:10–14years–Rate,2.2,,,Hospitalization
2018–2019,   Tic disorders,Total,Agegroup:10–14years–Rate,1.2,,,Hospitalization
2018–2019,   ADHD,Female,Agegroup:10–14years–Rate,20.2,,,Hospitalization
2018–2019,   ADHD,Male,Agegroup:10–14years–Rate,29.8,,,Hospitalization
2018–2019,   ADHD,Total,Agegroup:10–14years–Rate,25.1,,,Hospitalization
2019–2020,Neurocognitive disorders,Female,Agegroup:10–14years–Rate,0.3,,,Hospitalization
2019–2020,Neurocognitive disorders,Male,Agegroup:10–14years–Rate,1.1,,,Hospitalization
2019–2020,Neurocognitive disorders,Total,Agegroup:10–14years–Rate,0.7,,,Hospitalization
2019–2020,Substance-related disorders,Female,Agegroup:10–14years–Rate,11.6,,,Hospitalization
2019–2020,Substance-related disorders,Male,Agegroup:10–14years–Rate,6.4,,,Hospitalization
2019–2020,Substance-related disorders,Total,Agegroup:10–14years–Rate,8.9,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:10–14years–Rate,7.6,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:10–14years–Rate,5.2,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:10–14years–Rate,6.4,,,Hospitalization
2019–2020,Mood disorders,Female,Agegroup:10–14years–Rate,128.1,,,Hospitalization
2019–2020,Mood disorders,Male,Agegroup:10–14years–Rate,37.0,,,Hospitalization
2019–2020,Mood disorders,Total,Agegroup:10–14years–Rate,81.3,,,Hospitalization
2019–2020,Anxiety disorders,Female,Agegroup:10–14years–Rate,65.7,,,Hospitalization
2019–2020,Anxiety disorders,Male,Agegroup:10–14years–Rate,20.5,,,Hospitalization
2019–2020,Anxiety disorders,Total,Agegroup:10–14years–Rate,42.5,,,Hospitalization
2019–2020,Personality disorders,Female,Agegroup:10–14years–Rate,17.5,,,Hospitalization
2019–2020,Personality disorders,Male,Agegroup:10–14years–Rate,2.5,,,Hospitalization
2019–2020,Personality disorders,Total,Agegroup:10–14years–Rate,9.8,,,Hospitalization
2019–2020,Other disorders,Female,Agegroup:10–14years–Rate,242.0,,,Hospitalization
2019–2020,Other disorders,Male,Agegroup:10–14years–Rate,137.7,,,Hospitalization
2019–2020,Other disorders,Total,Agegroup:10–14years–Rate,188.4,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:10–14years–Rate,130.1,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:10–14years–Rate,41.8,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:10–14years–Rate,84.7,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:10–14years–Rate,28.7,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:10–14years–Rate,34.9,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:10–14years–Rate,31.9,,,Hospitalization
2019–2020,   Eating and feeding disorders,Female,Agegroup:10–14years–Rate,35.6,,,Hospitalization
2019–2020,   Eating and feeding disorders,Male,Agegroup:10–14years–Rate,5.9,,,Hospitalization
2019–2020,   Eating and feeding disorders,Total,Agegroup:10–14years–Rate,20.4,,,Hospitalization
2019–2020,   Tic disorders,Female,Agegroup:10–14years–Rate,0.6,,,Hospitalization
2019–2020,   Tic disorders,Male,Agegroup:10–14years–Rate,2.7,,,Hospitalization
2019–2020,   Tic disorders,Total,Agegroup:10–14years–Rate,1.7,,,Hospitalization
2019–2020,   ADHD,Female,Agegroup:10–14years–Rate,21.1,,,Hospitalization
2019–2020,   ADHD,Male,Agegroup:10–14years–Rate,32.0,,,Hospitalization
2019–2020,   ADHD,Total,Agegroup:10–14years–Rate,26.7,,,Hospitalization
2020–2021,Neurocognitive disorders,Female,Agegroup:10–14years–Rate,0.8,,,Hospitalization
2020–2021,Neurocognitive disorders,Male,Agegroup:10–14years–Rate,0.3,,,Hospitalization
2020–2021,Neurocognitive disorders,Total,Agegroup:10–14years–Rate,0.5,,,Hospitalization
2020–2021,Substance-related disorders,Female,Agegroup:10–14years–Rate,9.6,,,Hospitalization
2020–2021,Substance-related disorders,Male,Agegroup:10–14years–Rate,4.9,,,Hospitalization
2020–2021,Substance-related disorders,Total,Agegroup:10–14years–Rate,7.2,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:10–14years–Rate,7.4,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:10–14years–Rate,6.4,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:10–14years–Rate,6.9,,,Hospitalization
2020–2021,Mood disorders,Female,Agegroup:10–14years–Rate,146.0,,,Hospitalization
2020–2021,Mood disorders,Male,Agegroup:10–14years–Rate,26.0,,,Hospitalization
2020–2021,Mood disorders,Total,Agegroup:10–14years–Rate,84.3,,,Hospitalization
2020–2021,Anxiety disorders,Female,Agegroup:10–14years–Rate,66.1,,,Hospitalization
2020–2021,Anxiety disorders,Male,Agegroup:10–14years–Rate,14.9,,,Hospitalization
2020–2021,Anxiety disorders,Total,Agegroup:10–14years–Rate,39.8,,,Hospitalization
2020–2021,Personality disorders,Female,Agegroup:10–14years–Rate,18.1,,,Hospitalization
2020–2021,Personality disorders,Male,Agegroup:10–14years–Rate,2.1,,,Hospitalization
2020–2021,Personality disorders,Total,Agegroup:10–14years–Rate,9.9,,,Hospitalization
2020–2021,Other disorders,Female,Agegroup:10–14years–Rate,252.6,,,Hospitalization
2020–2021,Other disorders,Male,Agegroup:10–14years–Rate,96.1,,,Hospitalization
2020–2021,Other disorders,Total,Agegroup:10–14years–Rate,172.1,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:10–14years–Rate,124.2,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Male,Agegroup:10–14years–Rate,28.4,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Total,Agegroup:10–14years–Rate,74.9,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:10–14years–Rate,22.0,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:10–14years–Rate,21.5,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:10–14years–Rate,21.7,,,Hospitalization
2020–2021,   Eating and feeding disorders,Female,Agegroup:10–14years–Rate,59.8,,,Hospitalization
2020–2021,   Eating and feeding disorders,Male,Agegroup:10–14years–Rate,6.3,,,Hospitalization
2020–2021,   Eating and feeding disorders,Total,Agegroup:10–14years–Rate,32.3,,,Hospitalization
2020–2021,   Tic disorders,Female,Agegroup:10–14years–Rate,2.7,,,Hospitalization
2020–2021,   Tic disorders,Male,Agegroup:10–14years–Rate,1.7,,,Hospitalization
2020–2021,   Tic disorders,Total,Agegroup:10–14years–Rate,2.2,,,Hospitalization
2020–2021,   ADHD,Female,Agegroup:10–14years–Rate,21.1,,,Hospitalization
2020–2021,   ADHD,Male,Agegroup:10–14years–Rate,22.9,,,Hospitalization
2020–2021,   ADHD,Total,Agegroup:10–14years–Rate,22.0,,,Hospitalization
2021–2022,Neurocognitive disorders,Female,Agegroup:10–14years–Rate,0.8,,,Hospitalization
2021–2022,Neurocognitive disorders,Male,Agegroup:10–14years–Rate,1.0,,,Hospitalization
2021–2022,Neurocognitive disorders,Total,Agegroup:10–14years–Rate,0.9,,,Hospitalization
2021–2022,Substance-related disorders,Female,Agegroup:10–14years–Rate,11.4,,,Hospitalization
2021–2022,Substance-related disorders,Male,Agegroup:10–14years–Rate,5.5,,,Hospitalization
2021–2022,Substance-related disorders,Total,Agegroup:10–14years–Rate,8.4,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Female,Agegroup:10–14years–Rate,9.8,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Male,Agegroup:10–14years–Rate,8.2,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Total,Agegroup:10–14years–Rate,9.0,,,Hospitalization
2021–2022,Mood disorders,Female,Agegroup:10–14years–Rate,187.7,,,Hospitalization
2021–2022,Mood disorders,Male,Agegroup:10–14years–Rate,31.1,,,Hospitalization
2021–2022,Mood disorders,Total,Agegroup:10–14years–Rate,107.1,,,Hospitalization
2021–2022,Anxiety disorders,Female,Agegroup:10–14years–Rate,92.7,,,Hospitalization
